Year,IPSL_IPSL-CM5A2-INCA_r1i1p1f1,MIROC_MIROC-ES2L_r1i1p1f2,INM_INM-CM5-0_r1i1p1f1,AWI_AWI-CM-1-1-MR_r1i1p1f1,MRI_MRI-ESM2-0_r1i1p1f1,MOHC_UKESM1-0-LL_r1i1p1f2,KIOST_KIOST-ESM_r1i1p1f1,CNRM-CERFACS_CNRM-CM6-1-HR_r1i1p1f2,MOHC_HadGEM3-GC31-MM_r1i1p1f3,MOHC_HadGEM3-GC31-LL_r1i1p1f3,NCC_NorESM2-MM_r1i1p1f1,CNRM-CERFACS_CNRM-ESM2-1_r1i1p1f2,CAS_FGOALS-g3_r1i1p1f1,IPSL_IPSL-CM6A-LR_r1i1p1f1,CMCC_CMCC-ESM2_r1i1p1f1,CSIRO-ARCCSS_ACCESS-CM2_r1i1p1f1,CNRM-CERFACS_CNRM-CM6-1_r1i1p1f2,INM_INM-CM4-8_r1i1p1f1,MPI-M_MPI-ESM1-2-LR_r1i1p1f1,CCCR-IITM_IITM-ESM_r1i1p1f1,NOAA-GFDL_GFDL-ESM4_r1i1p1f1,MIROC_MIROC6_r1i1p1f1
2050,2.12827,1.55189,1.33484,1.55061,1.61961,2.54773,1.30716,2.03025,2.14080,2.21797,1.35939,1.40078,1.07278,1.91989,1.86232,1.97825,1.44171,1.15848,1.19246,1.13926,1.25062,1.37009
2051,2.15425,1.64392,1.34783,1.42385,1.68541,2.52902,1.53419,1.94435,2.16762,2.49422,1.40837,1.37040,1.04918,1.93405,1.84034,2.14741,1.54253,1.15162,1.33078,0.99153,1.26029,1.42988
2052,2.38485,1.28014,1.22224,1.53757,1.65459,2.61768,1.40412,1.95305,2.17911,2.45830,1.12410,1.53579,1.00206,1.54705,1.82150,2.32023,1.80266,1.13929,1.26680,1.03274,1.26297,1.01071
2053,2.42566,1.20689,1.09866,1.59400,1.77106,2.68494,1.33870,1.98524,2.16462,2.26670,1.12185,1.46198,1.08703,1.61955,2.13709,2.29832,1.75247,1.06410,1.17875,1.14549,1.18954,0.97842
2054,2.34194,1.25913,1.07489,1.57656,1.66422,2.52543,1.38076,1.81230,2.26016,2.41818,1.18199,1.56354,1.01430,1.54368,1.98049,2.16253,1.54548,1.18328,1.14162,1.12101,1.30892,1.12361
2055,2.36213,1.69210,1.20147,1.72440,1.79142,2.65590,1.30255,1.83914,2.34220,2.44879,1.17406,1.32299,1.02182,1.67078,1.75765,2.04320,1.72460,1.18354,1.19456,1.14452,1.41801,1.20764
2056,2.53243,1.66201,1.23922,1.52318,1.75570,2.69587,1.41412,1.93058,2.32111,2.32273,1.19928,1.26731,1.10161,1.83394,1.62248,2.22415,1.74335,1.14475,1.27413,1.16550,1.35984,1.43349
2057,2.34803,1.50910,1.21488,1.56739,1.64182,2.66398,1.26077,2.12991,2.36331,2.31246,1.30985,1.33335,1.08640,1.77092,1.72584,2.14954,1.75929,1.22431,1.25089,1.15201,1.24917,1.33795
2058,2.34281,1.51387,1.14306,1.65498,1.64120,2.79365,1.30221,2.00870,2.23864,2.51089,1.47177,1.47792,1.10057,1.86651,2.01738,2.24413,1.88282,1.21592,1.17763,1.18350,1.12804,1.17751
2059,2.54890,1.47624,1.29673,1.61329,1.57540,2.99798,1.40170,2.02136,2.23409,2.50234,1.26848,1.47546,0.99009,1.78202,2.19310,2.11574,1.63259,1.21338,1.27363,1.24574,1.21015,1.24822
2060,2.58815,1.49188,1.16417,1.83077,1.62255,2.77689,1.22324,1.87536,2.28968,2.38233,1.31969,1.62029,0.96927,1.63272,1.89792,2.19346,1.72649,1.23580,1.49027,1.08135,1.37199,1.40171
2061,2.76550,1.37276,1.32993,1.67413,1.64374,2.63632,1.29748,2.03436,2.28894,2.45473,1.47563,1.54929,1.17208,1.63447,1.76946,2.24065,1.58915,1.20467,1.47930,1.13356,1.42618,1.43564
2062,2.48851,1.36186,1.34288,1.53295,1.53379,2.59818,1.39792,2.03027,2.17164,2.48523,1.38891,1.58628,1.14425,1.82765,1.99189,2.26513,1.80096,1.26355,1.11626,1.11188,1.30649,1.61080
2063,2.76508,1.64718,1.39788,1.48964,1.60391,2.75068,1.22907,2.08226,2.27788,2.55533,1.64049,1.66586,1.04966,1.90735,2.25303,2.37186,1.69463,1.19648,1.08854,1.09727,1.23650,1.22479
2064,2.64169,1.65665,1.32981,1.54895,1.84008,2.67770,1.32783,2.02674,2.36872,2.53896,1.46384,1.42202,1.17233,1.94500,2.28120,2.36076,1.80963,1.22931,1.16382,1.05271,1.22667,1.09689
2065,2.55843,1.27259,1.21370,1.67582,1.92106,2.37831,1.39114,2.01096,2.35282,2.50625,1.24708,1.66125,0.93947,1.81036,2.24184,2.27266,1.81163,1.22493,1.12129,1.09287,1.26471,1.17371
2066,2.75964,1.24145,1.31641,1.71055,1.80096,2.66029,1.42697,2.02401,2.46259,2.59184,1.24613,1.76915,0.95514,1.77364,2.32625,2.24824,1.87543,1.21775,1.12066,0.99993,1.42708,1.40980
2067,2.83011,1.46543,1.35932,1.61477,1.80015,2.87008,1.32394,2.05477,2.33476,2.40666,1.47688,1.36522,1.15638,1.71800,2.29479,2.42528,1.84336,1.24513,1.17325,1.17949,1.30229,1.59359
2068,2.87523,1.73605,1.27203,1.55805,1.81404,2.76836,1.42574,2.13866,2.37180,2.63552,1.45128,1.51969,1.15457,1.73151,2.42465,2.38643,1.81871,1.21683,1.38019,1.10380,1.41890,1.16441
2069,2.86447,1.40431,1.15120,1.54528,1.85919,2.83066,1.30733,2.08912,2.53255,2.80943,1.46946,1.73395,1.04284,1.73394,2.23231,2.29849,1.86505,1.17605,1.24144,1.11081,1.44648,1.10400
2070,3.14277,1.18709,1.15342,1.69962,1.66674,2.92936,1.39904,2.01137,2.50456,2.61334,1.55693,1.78061,1.24941,1.87359,2.04719,2.24756,1.90419,1.19767,1.20487,0.95928,1.34557,1.26544
2071,3.29490,1.13323,1.20638,1.85053,1.50314,2.84398,1.25918,2.05637,2.34085,2.65764,1.43750,1.80829,1.05434,1.81074,2.17586,2.42530,1.82476,1.21640,1.21645,1.11258,1.26971,1.37471
2072,3.01870,1.28380,1.22124,1.65719,1.52779,2.76013,1.36179,2.12114,2.51981,2.67232,1.37967,1.62428,1.06902,1.66849,2.36287,2.16439,1.89271,1.28333,1.19000,1.08568,1.29555,1.61810
2073,3.03874,1.51292,1.20193,1.74367,1.57924,2.74575,1.31640,2.08867,2.67116,2.76631,1.39102,1.66451,1.24797,1.78348,2.41936,2.28575,1.79598,1.35664,1.26509,1.14375,1.21206,1.50505
2074,3.21393,1.62605,1.21868,1.68718,1.55817,2.96384,1.22491,2.17588,2.54299,2.68125,1.25566,1.58242,1.06442,1.82969,2.16177,2.27407,1.91293,1.27500,1.11431,1.01772,1.25309,1.28553
2075,3.29041,1.37750,1.21491,1.64144,1.74176,2.91239,1.25653,2.14560,2.47341,2.76160,1.35444,1.73410,1.00659,1.75620,2.11350,2.21417,1.84000,1.24749,1.08709,1.08999,1.19491,1.21802
2076,3.39255,1.35064,1.30006,1.80030,1.67989,2.77429,1.44173,2.18257,2.59640,2.85204,1.31137,1.78636,1.18686,2.00561,2.37571,2.21840,1.85376,1.20685,1.22411,1.15603,1.08514,1.30308
2077,3.50173,1.36750,1.15858,1.61606,1.67176,2.77595,1.28425,2.12880,2.57628,2.88518,1.22757,1.87556,1.13100,1.99964,2.36860,2.25192,1.97554,1.14937,1.25395,1.15574,1.37024,1.46599
2078,3.21665,1.49462,1.12827,1.56241,1.79600,2.85172,1.42993,2.04445,2.66645,2.61517,1.53932,1.79464,1.06423,1.72728,2.41780,2.35767,1.83158,1.12220,1.24637,1.12537,1.51712,1.47343
2079,3.25808,1.66882,1.22993,1.40935,1.71917,2.98037,1.43642,2.06871,2.65459,2.51341,1.50942,1.87382,1.11475,1.94551,2.30894,2.49739,1.94494,1.18678,1.28446,1.00243,1.27913,1.22332
2080,3.45710,1.61844,1.21313,1.62565,1.73117,2.90363,1.29160,2.11576,2.57636,2.71786,1.33168,1.69916,1.13294,2.11479,2.17898,2.28306,1.81493,1.12978,1.20535,1.28016,1.37961,1.23384
2081,3.51372,1.29684,1.23806,1.77800,1.59755,3.04178,1.39525,2.14044,2.74830,2.90451,1.32100,1.93730,1.19011,1.93702,2.17807,2.26256,1.96642,1.11480,1.32011,1.04529,1.26315,1.36185
2082,3.41850,1.26196,1.22752,1.64975,1.51474,3.12067,1.22430,1.98507,2.69535,2.78208,1.20545,1.81338,1.12140,2.01676,2.30701,2.34416,2.01333,1.08386,1.17681,1.04054,1.50670,1.35247
2083,3.57514,1.42329,1.13594,1.60288,1.62492,2.98982,1.19661,2.05699,2.85974,2.66979,1.25319,1.74972,1.21880,2.01906,2.34699,2.27313,1.94777,1.14836,1.20689,0.94489,1.34747,1.32131
2084,3.62144,1.79958,1.26310,1.79204,1.77115,2.86536,1.26205,2.09661,2.72781,2.88731,1.32754,1.63711,1.31019,1.91903,2.14349,2.40788,1.84668,1.20214,1.18633,0.98768,1.13045,1.20592
2085,3.69031,1.53824,1.26508,1.67858,1.60695,2.91545,1.06844,2.11136,2.59518,2.75654,1.49316,1.77008,1.26959,1.74839,2.10050,2.28915,1.96293,1.12443,1.04546,1.02202,1.21776,1.32273
2086,3.85079,1.28171,1.25243,1.68041,1.63980,2.95182,1.37788,2.07495,2.57729,2.71336,1.40110,1.95533,1.21783,1.67458,2.43013,2.37706,1.90896,1.11489,0.98938,0.94727,1.41287,1.58777
2087,3.92045,1.48568,1.19831,1.63213,1.68105,2.81292,1.33423,2.05929,2.65421,2.76866,1.04687,1.65719,1.10679,1.86664,2.60653,2.38390,1.66436,1.17146,1.13563,1.11545,1.28673,1.18618
2088,4.00792,1.70097,1.16586,1.58044,1.63454,2.68868,1.08706,2.13964,2.69746,2.70055,1.19432,1.63301,1.11844,1.97099,2.39071,2.35361,1.72313,1.11074,1.20726,1.03256,1.29764,1.08029
2089,4.14764,1.27730,1.24386,1.53809,1.61712,2.87304,1.32075,2.04873,2.70414,2.78704,1.13091,1.73741,1.09026,1.82845,2.35400,2.39532,1.82557,1.11805,1.15451,0.95845,1.33152,1.19551
2090,4.15714,1.26940,1.24911,1.66307,1.58803,2.80194,1.42056,2.21438,2.53545,2.82093,1.30503,1.81304,1.10244,1.71643,2.53510,2.52274,1.73112,1.07259,1.15000,1.02268,1.33498,1.17532
2091,4.13711,1.57609,1.16530,1.59216,1.56726,2.80101,1.22021,2.19117,2.61702,2.63478,1.49050,1.91870,1.18387,1.63637,2.58312,2.38585,1.83607,1.04495,1.28511,0.87969,1.26314,1.26107
2092,4.08290,1.62419,1.08682,1.39196,1.47901,2.97673,1.31592,2.18716,2.65200,2.74073,1.30868,1.86131,1.06810,1.59568,2.43800,2.42744,1.80094,1.14737,1.05073,0.98856,1.30073,1.33598
2093,4.13763,1.22934,1.05555,1.41597,1.46898,2.94802,1.39319,2.05957,2.81649,2.83038,1.31868,2.13506,1.01594,1.79365,2.33601,2.54708,1.96487,1.01703,1.15863,1.08507,1.26645,1.35455
2094,4.19401,1.16389,1.13721,1.47807,1.55686,2.87551,1.19843,2.15411,2.85190,2.75389,1.50641,1.85093,1.15262,1.79110,2.42217,2.40702,1.90272,1.10514,1.24311,1.10016,1.16877,1.15983
2095,4.15983,1.36500,1.02920,1.67169,1.41641,2.84929,1.22259,2.31188,2.65278,2.78916,1.32376,1.84585,1.04751,1.67667,2.41028,2.46308,1.89658,1.07649,1.05155,1.00684,1.03161,1.05634
2096,4.30402,1.49433,1.01451,1.49535,1.51784,2.72706,1.11798,2.10993,2.80811,2.86538,1.20334,1.82951,1.07016,1.60788,2.50024,2.47059,1.96538,1.06626,1.00726,1.07111,1.08913,1.10523
2097,4.23552,1.62248,1.06506,1.39369,1.43997,2.65555,1.11500,2.14812,2.65626,2.75000,1.51334,2.02497,1.01686,1.63797,2.61760,2.26563,1.81061,1.04837,1.12965,1.00211,1.35539,1.19164
2098,4.30673,1.16348,1.07890,1.45286,1.39405,2.70258,1.42484,2.22134,2.63920,2.72486,1.54921,1.95983,0.92154,1.89245,2.46210,2.28872,1.98298,1.07261,1.22146,0.72794,1.21611,1.42438
2099,4.58948,1.08617,1.07915,1.46336,1.45009,2.88801,1.22949,2.23528,2.65513,2.79158,1.26938,1.81269,1.00257,1.93149,2.39516,2.31641,1.83510,1.02532,1.18004,0.87674,1.23545,1.60393
2100,4.70326,1.34023,1.02707,1.44516,1.42141,2.88781,1.05232,2.16692,2.50628,2.76156,1.36931,2.03605,0.89551,1.77623,2.43710,2.38504,1.73226,1.09345,1.27082,-,1.23450,1.13879
