Year,IPSL_IPSL-CM5A2-INCA_r1i1p1f1,MIROC_MIROC-ES2L_r1i1p1f2,INM_INM-CM5-0_r1i1p1f1,AWI_AWI-CM-1-1-MR_r1i1p1f1,MRI_MRI-ESM2-0_r1i1p1f1,MOHC_UKESM1-0-LL_r1i1p1f2,KIOST_KIOST-ESM_r1i1p1f1,CNRM-CERFACS_CNRM-CM6-1-HR_r1i1p1f2,MOHC_HadGEM3-GC31-MM_r1i1p1f3,MOHC_HadGEM3-GC31-LL_r1i1p1f3,NCC_NorESM2-MM_r1i1p1f1,CNRM-CERFACS_CNRM-ESM2-1_r1i1p1f2,CAS_FGOALS-g3_r1i1p1f1,IPSL_IPSL-CM6A-LR_r1i1p1f1,CMCC_CMCC-ESM2_r1i1p1f1,CSIRO-ARCCSS_ACCESS-CM2_r1i1p1f1,CNRM-CERFACS_CNRM-CM6-1_r1i1p1f2,INM_INM-CM4-8_r1i1p1f1,MPI-M_MPI-ESM1-2-LR_r1i1p1f1,CCCR-IITM_IITM-ESM_r1i1p1f1,NOAA-GFDL_GFDL-ESM4_r1i1p1f1,MIROC_MIROC6_r1i1p1f1
1898,-0.65811,-0.02450,-0.24690,-0.39065,-0.05533,0.18818,-0.49426,-0.53537,0.03528,0.02094,0.03114,-0.24215,-0.31020,-0.56882,-0.48108,0.04135,-0.28282,-0.25343,-0.35938,-0.26404,0.00529,-0.11726
1899,-0.51465,-0.16221,-0.22120,-0.36266,-0.12851,0.11039,-0.41304,-0.46429,-0.07712,0.02236,0.12923,-0.23384,-0.23733,-0.42457,-0.58052,-0.02196,-0.41888,-0.25311,-0.42353,-0.27102,0.16067,-0.11488
1900,-0.38754,-0.23301,-0.20086,-0.34114,-0.26648,0.19062,-0.33325,-0.50846,-0.12906,0.00099,0.07625,-0.32462,-0.35356,-0.37763,-0.66737,-0.01811,-0.31416,-0.29813,-0.41862,-0.28782,0.21235,-0.02593
1901,-0.58563,-0.06880,-0.17694,-0.26076,-0.01431,0.03444,-0.28081,-0.50291,-0.08503,0.03619,0.01726,-0.08831,-0.44488,-0.52393,-0.53906,-0.07240,-0.23298,-0.26471,-0.28843,-0.37872,-0.00947,-0.01560
1902,-0.72107,0.08480,-0.14379,-0.26468,-0.06918,0.16098,-0.54791,-0.47302,-0.14790,-0.09787,-0.06844,-0.29364,-0.33768,-0.54037,-0.44328,-0.04451,-0.46205,-0.21796,-0.29457,-0.27345,-0.05727,-0.14909
1903,-0.49417,-0.38594,-0.30921,-0.48428,-0.30543,0.15374,-0.65180,-0.58130,-0.39654,-0.26350,-0.06740,-0.25995,-0.46110,-0.54454,-0.70765,-0.24279,-0.55050,-0.49178,-0.57751,-0.49968,-0.17570,-0.53025
1904,-0.62788,-0.31233,-0.41982,-0.45584,-0.08706,0.05072,-0.58332,-0.64055,-0.27926,-0.07699,-0.06189,-0.26458,-0.53325,-0.58583,-0.69015,-0.23694,-0.63127,-0.40747,-0.37737,-0.56262,0.10791,-0.50458
1905,-0.74276,-0.25815,-0.20313,-0.54580,-0.00109,0.11162,-0.36172,-0.58684,-0.09596,-0.11516,-0.19099,-0.48712,-0.52415,-0.64137,-0.59162,-0.20343,-0.63273,-0.38494,-0.22558,-0.37993,0.08690,-0.38064
1906,-0.51199,-0.21818,-0.14396,-0.50229,-0.13580,0.09002,-0.26189,-0.47967,-0.20858,-0.08502,-0.16512,-0.26261,-0.57089,-0.64586,-0.43178,-0.11907,-0.60120,-0.34597,-0.33618,-0.39737,0.01686,-0.30994
1907,-0.56280,-0.09529,-0.12936,-0.38616,-0.28390,0.25130,-0.36079,-0.62559,-0.17759,0.01995,-0.27971,-0.10881,-0.42140,-0.65671,-0.39162,-0.25842,-0.43078,-0.33700,-0.37801,-0.38297,0.03204,-0.29075
1908,-0.48564,-0.12438,-0.16420,-0.42784,-0.06290,0.21818,-0.23865,-0.68921,-0.09381,-0.13422,-0.19430,-0.19820,-0.34448,-0.44711,-0.47890,-0.20978,-0.48481,-0.23321,-0.42987,-0.26667,0.04959,-0.13233
1909,-0.45221,-0.24927,-0.23356,-0.45975,-0.00596,0.16909,-0.06465,-0.66749,-0.02662,-0.30673,-0.15276,-0.13696,-0.36659,-0.44209,-0.47493,-0.29141,-0.53521,-0.30406,-0.49137,-0.28241,0.20179,-0.02215
1910,-0.35329,-0.19382,-0.13717,-0.27562,0.01425,0.14148,-0.31982,-0.60505,-0.03790,-0.28291,-0.13954,-0.36343,-0.44055,-0.44851,-0.51210,-0.09753,-0.47832,-0.22886,-0.33989,-0.24203,0.21805,-0.12547
1911,-0.35048,0.05417,-0.08184,-0.25779,-0.12481,0.19085,-0.40607,-0.58568,-0.13008,-0.13467,0.11542,-0.14317,-0.26124,-0.40407,-0.42446,-0.12960,-0.53408,-0.24461,-0.27563,-0.37198,0.21857,-0.24344
1912,-0.50857,0.09201,-0.17063,-0.63039,-0.17368,0.10092,-0.33310,-0.52609,-0.23980,-0.19431,0.01497,-0.20910,-0.35617,-0.47809,-0.24610,-0.37295,-0.55513,-0.34317,-0.34267,-0.44160,-0.14294,-0.29062
1913,-0.51190,-0.34743,-0.25800,-0.55769,-0.17845,0.18408,-0.40466,-0.62603,-0.32138,-0.08056,0.04095,-0.37397,-0.52635,-0.63387,-0.36299,-0.41539,-0.46248,-0.40881,-0.25617,-0.45003,-0.22897,-0.32076
1914,-0.80400,-0.31168,-0.21582,-0.55467,-0.17457,0.29547,-0.39901,-0.47840,-0.33740,0.01656,0.11540,-0.31897,-0.48592,-0.61029,-0.56786,-0.55042,-0.38845,-0.45161,-0.17344,-0.50116,0.05780,-0.24021
1915,-0.69689,-0.04017,-0.10838,-0.46479,-0.13341,0.31090,-0.30056,-0.44881,-0.28986,-0.01114,-0.00373,-0.30112,-0.18545,-0.45139,-0.62012,-0.36182,-0.48936,-0.29672,-0.24610,-0.40433,0.12143,-0.27662
1916,-0.59996,0.16285,-0.21574,-0.38030,-0.26031,0.19087,-0.27702,-0.42884,-0.10203,-0.06842,-0.10596,-0.45471,-0.23684,-0.29762,-0.47102,-0.15026,-0.54534,-0.31226,-0.38163,-0.31165,0.09784,-0.07267
1917,-0.53074,0.08087,-0.06127,-0.43056,-0.23316,0.09231,-0.34341,-0.41594,-0.13800,-0.04918,-0.02110,-0.38682,-0.21580,-0.45342,-0.37082,-0.42783,-0.34901,-0.30188,-0.49142,-0.28135,0.04118,0.05381
1918,-0.59238,-0.28907,-0.02516,-0.35413,-0.19077,0.19777,-0.36921,-0.45291,0.03023,0.04159,-0.02494,-0.40772,-0.02452,-0.48074,-0.44466,-0.20096,-0.58251,-0.28014,-0.51096,-0.23267,0.11614,0.12406
1919,-0.82656,-0.25366,0.04369,-0.28632,-0.24888,0.32607,-0.29623,-0.43795,-0.15363,0.16630,0.11073,-0.17021,-0.17661,-0.58639,-0.42863,-0.22551,-0.36739,-0.26242,-0.40302,-0.17446,0.22786,-0.29626
1920,-0.85646,-0.07289,0.04194,-0.26665,-0.23441,0.21756,-0.11209,-0.41793,-0.15931,0.08950,0.12441,-0.24481,-0.29106,-0.43401,-0.39959,-0.28201,-0.26521,-0.27206,-0.20813,-0.12303,0.24285,-0.28497
1921,-0.54150,0.09032,0.03196,-0.18578,-0.09995,0.07737,-0.34204,-0.50656,-0.14283,0.06216,0.05046,-0.13614,-0.22554,-0.29366,-0.25272,-0.29078,-0.27615,-0.20892,-0.16567,-0.39927,0.04027,-0.14116
1922,-0.46363,-0.02485,-0.00484,-0.36614,-0.00999,0.08337,-0.35206,-0.51341,-0.21921,0.04334,-0.14956,-0.22530,-0.21279,-0.64583,-0.43030,-0.38249,-0.39946,-0.09433,-0.17954,-0.33936,0.09746,-0.05224
1923,-0.36175,-0.27133,-0.03197,-0.24991,0.02856,0.10899,-0.16891,-0.42673,-0.23556,0.14309,-0.27461,-0.18206,-0.35144,-0.71562,-0.61713,-0.20421,-0.40710,-0.09465,-0.15485,-0.38354,0.18354,-0.07213
1924,-0.52541,-0.27228,-0.06776,-0.01806,-0.19666,0.27619,-0.16649,-0.30457,-0.08027,0.16903,-0.27458,-0.29399,-0.23537,-0.43716,-0.60059,-0.15956,-0.36296,-0.14685,-0.17536,-0.18488,0.09024,0.03383
1925,-0.46466,-0.22501,-0.04551,-0.09097,-0.27485,0.26634,-0.19459,-0.19196,-0.00310,0.06945,-0.30981,-0.29103,-0.27961,-0.51803,-0.48349,-0.11251,-0.33446,-0.16196,-0.31342,-0.20729,0.04198,0.00278
1926,-0.55501,-0.13441,-0.00948,-0.33540,-0.19086,0.24104,-0.17082,-0.27989,-0.22931,0.13585,-0.16265,-0.27819,-0.28465,-0.40769,-0.33676,-0.20626,-0.36897,-0.20045,-0.16290,-0.45019,-0.00166,-0.07438
1927,-0.35027,0.02081,-0.02132,-0.33865,-0.05245,0.08787,-0.11831,-0.26371,-0.19695,0.07377,-0.07450,-0.17440,-0.18783,-0.51347,-0.11255,-0.03979,-0.42855,-0.12848,-0.08647,-0.28888,0.15189,-0.11673
1928,-0.44847,0.06810,0.04699,-0.31897,-0.07783,0.17360,-0.34886,-0.20335,0.03984,0.16089,-0.08797,-0.06022,-0.21324,-0.44469,-0.10809,-0.09061,-0.51175,-0.13504,0.03595,-0.03618,0.25404,-0.13007
1929,-0.65471,-0.01648,0.11014,-0.25070,-0.02607,0.15739,-0.35832,-0.10308,-0.00278,0.08281,-0.07025,-0.17150,-0.24534,-0.31869,-0.18632,-0.00108,-0.45080,-0.08002,-0.01671,-0.18498,0.16848,-0.15036
1930,-0.55726,-0.17408,0.08025,-0.20799,-0.08813,0.25349,-0.20485,-0.26888,0.12442,-0.06488,0.16119,-0.15733,-0.17282,-0.46780,-0.26730,-0.09940,-0.46369,-0.00275,-0.18290,-0.19129,0.10701,-0.19445
1931,-0.43308,-0.08016,-0.04266,-0.17864,-0.24590,0.07216,-0.30921,-0.12327,0.08128,-0.13260,0.22347,-0.10215,-0.18905,-0.60112,-0.07647,-0.18075,-0.43811,-0.09517,-0.17676,-0.04461,0.18960,-0.14163
1932,-0.17730,0.03609,-0.03751,-0.24934,-0.11240,0.11769,-0.18522,-0.14491,0.02351,-0.05589,-0.13187,-0.13938,-0.34131,-0.40385,0.06322,-0.02339,-0.45164,-0.13456,-0.25169,-0.00028,0.26409,-0.05678
1933,-0.04841,0.00302,-0.10953,-0.28188,-0.08396,0.13775,-0.26018,-0.15118,-0.08304,-0.07062,0.01937,-0.25046,-0.28293,-0.30122,-0.23177,0.03458,-0.38689,-0.16041,-0.19530,-0.23596,0.21344,-0.19160
1934,-0.05348,0.02132,-0.06924,-0.16840,-0.10202,0.08441,-0.35393,-0.22336,-0.14044,0.01549,0.14135,-0.31846,-0.21958,-0.28987,-0.37245,0.24219,-0.23252,-0.08941,-0.12683,-0.19026,0.09815,-0.07491
1935,-0.15325,0.09904,0.00793,-0.12780,0.00793,0.12130,-0.46546,-0.23212,-0.16847,0.14919,-0.00588,-0.26469,-0.14425,-0.40141,-0.20988,0.12417,-0.40834,-0.10863,-0.07738,-0.23206,0.08733,-0.04182
1936,-0.31073,-0.10351,-0.05924,-0.20116,0.12235,0.26938,-0.24197,-0.14631,-0.08058,-0.06746,-0.15349,-0.29663,-0.05739,-0.32055,-0.10116,0.15191,-0.62898,-0.10724,-0.14411,-0.34444,0.01856,-0.00634
1937,-0.39662,-0.17761,-0.06805,-0.26266,0.05098,-0.02029,-0.32917,-0.20403,-0.00425,-0.01145,-0.07954,-0.26233,-0.15024,-0.14749,-0.25107,-0.04055,-0.48923,-0.04946,-0.16025,-0.18083,-0.01513,0.16023
